Apartment,1,LA,f,f,Santa Monica,1,1,61.06
Apartment,1,NYC,t,f,Williamsburg,1,1,96.17
Apartment,1,SF,t,f,Richmond District,1,1,112.21
Apartment,1,LA,t,f,Marina Del Rey,0,1,68.67
Apartment,1,NYC,t,f,West Village,1,1,94.75
Townhouse,2,LA,t,f,,1,1,57.37
Apartment,1,NYC,t,t,Washington Heights,1,2,83.47
Apartment,1,NYC,f,f,Midtown East,0,2,90.94
Apartment,1,Boston,t,f,Back Bay,2,3,222.25
Apartment,1,NYC,f,f,Hell's Kitchen,1,1,70.78
Apartment,,NYC,t,f,Woodside,1,,63.64
Apartment,1,Chicago,f,f,Pilsen,1,1,94.25
Apartment,1,NYC,t,f,Williamsburg,1,1,90.23
Apartment,1,LA,t,f,Palms,1,1,64.29
House,1,Chicago,t,f,North Center,1,1,124.72
Apartment,2,LA,t,t,Westlake,2,3,150.62
Apartment,1,SF,f,t,Glen Park,2,2,205.05
Apartment,1,NYC,f,t,Bushwick,2,2,95.49
Apartment,1,NYC,t,f,Williamsburg,1,1,89.00
House,2.5,SF,t,f,Western Addition/NOPA,3,3,331.44
Apartment,1,NYC,t,f,Meatpacking District,1,1,89.66
House,2,Boston,t,f,Beacon Hill,2,2,250.05
Apartment,1,NYC,t,f,Upper West Side,2,3,110.49
House,2,LA,t,f,Lawndale,4,7,216.22
Apartment,1,LA,f,t,Westlake,0,1,85.19
Apartment,1,NYC,t,t,East New York,1,1,86.77
Apartment,1,NYC,f,f,Ridgewood,1,1,60.68
Apartment,1,NYC,t,f,Hell's Kitchen,1,2,89.83
House,2,LA,t,f,Mid-Wilshire,3,3,229.13
House,1,NYC,t,t,Graniteville,1,1,61.37
Apartment,1,Boston,t,f,Roslindale,1,2,146.28
House,1,DC,t,f,Friendship Heights,1,1,75.14
Apartment,1,NYC,t,f,Washington Heights,1,1,66.63
Apartment,1,NYC,f,f,Alphabet City,1,2,85.47
Apartment,1,SF,f,t,Richmond District,1,2,181.85
Apartment,1,NYC,f,f,Lower East Side,0,1,99.82
Apartment,2,LA,t,f,San Pedro,2,2,177.80
